Név,Dátum,Utolsó ár,Mennyiség
KONZUM,2017.03.20.,120.0,212211.0
KONZUM,2017.03.21.,119.0,247523.0
KONZUM,2017.03.22.,120.0,22023.0
KONZUM,2017.03.23.,117.0,44127.0
KONZUM,2017.03.24.,121.0,17327.0
KONZUM,2017.03.27.,121.0,36224.0
KONZUM,2017.03.28.,124.0,12912.0
KONZUM,2017.03.29.,124.0,16897.0
KONZUM,2017.03.30.,122.0,42863.0
KONZUM,2017.03.31.,125.0,39734.0
KONZUM,2017.04.03.,123.0,37345.0
KONZUM,2017.04.04.,122.0,16983.0
KONZUM,2017.04.05.,120.0,64668.0
KONZUM,2017.04.06.,120.0,3340.0
KONZUM,2017.04.07.,122.0,9303.0
KONZUM,2017.04.10.,120.0,43900.0
KONZUM,2017.04.11.,,
KONZUM,2017.04.12.,132.0,133590.0
KONZUM,2017.04.13.,140.0,254742.0
KONZUM,2017.04.18.,139.0,53052.0
KONZUM,2017.04.19.,139.0,53302.0
KONZUM,2017.04.20.,136.0,14101.0
KONZUM,2017.04.21.,149.0,242146.0
KONZUM,2017.04.24.,165.0,511906.0
KONZUM,2017.04.25.,198.0,604228.0
KONZUM,2017.04.26.,203.0,749589.0
KONZUM,2017.04.27.,195.0,221450.0
KONZUM,2017.04.28.,197.0,127324.0
KONZUM,2017.05.02.,202.0,67934.0
KONZUM,2017.05.03.,192.0,87297.0
KONZUM,2017.05.04.,191.0,35677.0
KONZUM,2017.05.05.,192.0,16530.0
KONZUM,2017.05.08.,196.0,21948.0
KONZUM,2017.05.09.,212.0,239484.0
KONZUM,2017.05.10.,216.0,62960.0
KONZUM,2017.05.11.,214.0,53011.0
KONZUM,2017.05.12.,204.0,106450.0
KONZUM,2017.05.15.,209.0,27204.0
KONZUM,2017.05.16.,213.0,31592.0
KONZUM,2017.05.17.,216.0,156384.0
KONZUM,2017.05.18.,219.0,184778.0
KONZUM,2017.05.19.,225.0,191984.0
KONZUM,2017.05.22.,231.0,101393.0
KONZUM,2017.05.23.,228.0,95705.0
KONZUM,2017.05.24.,225.0,86937.0
KONZUM,2017.05.25.,229.0,80903.0
KONZUM,2017.05.26.,228.0,31461.0
KONZUM,2017.05.29.,232.0,80861.0
KONZUM,2017.05.30.,278.0,506568.0
KONZUM,2017.05.31.,295.0,725888.0
KONZUM,2017.06.01.,354.0,550827.0
KONZUM,2017.06.02.,424.0,730796.0
MOL,2017.01.02.,20860.0,16682.0
MOL,2017.01.03.,20900.0,51511.0
MOL,2017.01.04.,21185.0,154046.0
MOL,2017.01.05.,21045.0,124514.0
MOL,2017.01.06.,20985.0,101467.0
MOL,2017.01.09.,21000.0,101101.0
MOL,2017.01.10.,20970.0,111309.0
MOL,2017.01.11.,20820.0,133505.0
MOL,2017.01.12.,21000.0,176716.0
MOL,2017.01.13.,21000.0,78603.0
MOL,2017.01.16.,21000.0,43279.0
MOL,2017.01.17.,20880.0,44067.0
MOL,2017.01.18.,21140.0,82398.0
MOL,2017.01.19.,20775.0,118470.0
MOL,2017.01.20.,20850.0,60567.0
MOL,2017.01.23.,20940.0,61624.0
MOL,2017.01.24.,20405.0,105181.0
MOL,2017.01.25.,20265.0,116801.0
MOL,2017.01.26.,20460.0,44078.0
MOL,2017.01.27.,20300.0,64832.0
MOL,2017.01.30.,20320.0,99867.0
MOL,2017.01.31.,20250.0,98794.0
MOL,2017.02.01.,20140.0,120479.0
MOL,2017.02.02.,20000.0,132933.0
MOL,2017.02.03.,20395.0,88897.0
MOL,2017.02.06.,20300.0,79399.0
MOL,2017.02.07.,20200.0,107991.0
MOL,2017.02.08.,20210.0,71869.0
MOL,2017.02.09.,20450.0,93995.0
MOL,2017.02.10.,20450.0,73397.0
MOL,2017.02.13.,20450.0,59705.0
MOL,2017.02.14.,20455.0,165574.0
MOL,2017.02.15.,20700.0,109093.0
MOL,2017.02.16.,21000.0,185047.0
MOL,2017.02.17.,20730.0,110563.0
MOL,2017.02.20.,20800.0,16868.0
MOL,2017.02.21.,21160.0,121609.0
MOL,2017.02.22.,21025.0,61806.0
MOL,2017.02.23.,20900.0,94149.0
MOL,2017.02.24.,20865.0,104319.0
MOL,2017.02.27.,20840.0,47277.0
MOL,2017.02.28.,19950.0,226068.0
MOL,2017.03.01.,20960.0,141876.0
MOL,2017.03.02.,20620.0,149563.0
MOL,2017.03.03.,20700.0,49497.0
MOL,2017.03.06.,20790.0,70462.0
MOL,2017.03.07.,20090.0,137531.0
MOL,2017.03.08.,20140.0,153986.0
MOL,2017.03.09.,20765.0,121866.0
MOL,2017.03.10.,20595.0,95130.0
MOL,2017.03.13.,20650.0,71179.0
MOL,2017.03.14.,20940.0,341690.0
MOL,2017.03.16.,20975.0,110651.0
MOL,2017.03.17.,21000.0,163739.0
MOL,2017.03.20.,20800.0,41121.0
MOL,2017.03.21.,20360.0,173490.0
MOL,2017.03.22.,20500.0,98601.0
MOL,2017.03.23.,20605.0,65175.0
MOL,2017.03.24.,20430.0,32376.0
MOL,2017.03.27.,20225.0,53913.0
MOL,2017.03.28.,20285.0,61591.0
MOL,2017.03.29.,20200.0,78831.0
MOL,2017.03.30.,20215.0,860630.0
MOL,2017.03.31.,19800.0,740629.0
MOL,2017.04.03.,20100.0,287393.0
MOL,2017.04.04.,20200.0,793988.0
MOL,2017.04.05.,20460.0,393721.0
MOL,2017.04.06.,20600.0,203941.0
MOL,2017.04.07.,20745.0,263016.0
MOL,2017.04.10.,20910.0,290848.0
MOL,2017.04.11.,20865.0,501771.0
MOL,2017.04.12.,20905.0,126106.0
MOL,2017.04.13.,21100.0,115864.0
MOL,2017.04.18.,21000.0,107005.0
MOL,2017.04.19.,21090.0,138701.0
MOL,2017.04.20.,21350.0,377985.0
MOL,2017.04.21.,21250.0,105913.0
MOL,2017.04.24.,21400.0,124570.0
MOL,2017.04.25.,21525.0,111063.0
MOL,2017.04.26.,21650.0,184671.0
MOL,2017.04.27.,21715.0,126643.0
MOL,2017.04.28.,21650.0,103771.0
MOL,2017.05.02.,21420.0,173454.0
MOL,2017.05.03.,21060.0,306706.0
MOL,2017.05.04.,21355.0,277673.0
MOL,2017.05.05.,21900.0,230924.0
MOL,2017.05.08.,22010.0,147112.0
MOL,2017.05.09.,21900.0,164007.0
MOL,2017.05.10.,21950.0,163896.0
MOL,2017.05.11.,22310.0,202809.0
MOL,2017.05.12.,22950.0,264910.0
MOL,2017.05.15.,22800.0,79616.0
MOL,2017.05.16.,22550.0,94240.0
MOL,2017.05.17.,22020.0,82227.0
